experiment_name, evaluation_name, evaluation_function, measured_value, experiment_result, system_timestamp
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.806088612130267,            False,            19.399999999999963
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            1.5972665904297612,            False,            19.399999999999963
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.823408242850315,            False,            19.599999999999962
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            1.5911958195566003,            False,            19.599999999999962
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.840407922472382,            False,            19.79999999999996
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            1.5837415307275,            False,            19.79999999999996
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.857015880634895,            False,            19.99999999999996
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            1.5750512030282642,            False,            19.99999999999996
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.873168026301055,            False,            20.19999999999996
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            1.5652680756291302,            False,            20.19999999999996
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.88880772484992,            False,            20.39999999999996
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            1.5545306617830927,            False,            20.39999999999996
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.903885550117476,            False,            20.59999999999996
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            1.5429723264022464,            False,            20.59999999999996
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.918359014689479,            False,            20.799999999999958
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            1.5307209247525435,            False,            20.799999999999958
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.932192281617189,            False,            20.999999999999957
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            1.5178984996541915,            False,            20.999999999999957
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.94535586058898,            False,            21.199999999999957
