Experiment_name, System, Variable, Value, Time
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            10.863021302951658,            10.799999999999994
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            -0.7429011213310116,            10.799999999999994
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            -0.7429011213310116,            10.799999999999994
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            10.758531720977263,            10.999999999999993
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            -0.6728967935268776,            10.999999999999993
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            -0.6728967935268776,            10.999999999999993
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            10.657691746560968,            11.199999999999992
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            -0.5972400717617312,            11.199999999999992
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            -0.5972400717617312,            11.199999999999992
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            10.560796240475542,            11.399999999999991
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            -0.516791283514199,            11.399999999999991
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            -0.516791283514199,            11.399999999999991
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            10.468095161145136,            11.59999999999999
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            -0.4323724237378856,            11.59999999999999
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            -0.4323724237378856,            11.59999999999999
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            10.37979555083163,            11.79999999999999
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            -0.3447653748233116,            11.79999999999999
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            -0.3447653748233116,            11.79999999999999
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            10.296063618518247,            11.99999999999999
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            -0.2547104949518915,            11.99999999999999
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            -0.2547104949518915,            11.99999999999999
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            10.217026900027651,            12.199999999999989
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            -0.1629055549493093,            12.199999999999989
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            -0.1629055549493093,            12.199999999999989
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            10.142776476890578,            12.399999999999988
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            -0.07000500314071118,            12.399999999999988
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            -0.07000500314071118,            12.399999999999988
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            10.07336923650411,            12.599999999999987
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            0.023380462718986972,            12.599999999999987
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            0.023380462718986972,            12.599999999999987
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            10.00883015717732,            12.799999999999986
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            0.11668403762895466,            12.799999999999986
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            0.11668403762895466,            12.799999999999986
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            9.949154602746741,            12.999999999999986
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            0.20938268693506873,            12.999999999999986
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            0.20938268693506873,            12.999999999999986
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            9.894310612546564,            13.199999999999985
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            0.30099678058473306,            13.199999999999985
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            0.30099678058473306,            13.199999999999985
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            9.844241173629891,            13.399999999999984
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            0.3910895051203346,            13.399999999999984
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            0.3910895051203346,            13.399999999999984
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            9.798866463249762,            13.599999999999984
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            0.47926607418652056,            13.599999999999984
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            0.47926607418652056,            13.599999999999984
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            9.758086050714073,            13.799999999999983
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            0.565172757912731,            13.799999999999983
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            0.565172757912731,            13.799999999999983
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            9.721781048819773,            13.999999999999982
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            0.6484957510180727,            13.999999999999982
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            0.6484957510180727,            13.999999999999982
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            9.68981620614193,            14.199999999999982
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            0.7289598988828307,            14.199999999999982
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            0.7289598988828307,            14.199999999999982
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            9.662041932496294,            14.39999999999998
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            0.8063273001515094,            14.39999999999998
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            0.8063273001515094,            14.39999999999998
